,Representative,Metric,Num,Unit
0,4YV5,Kd,6.2,uM
1,1HN4,Kd,0.15,mM
2,3QLM,Ki,15.8,uM
3,5G3N,ic50,0.012,uM
4,1KVO,ic50,0.013000000000000001,uM
5,1J1A,ic50,0.028999999999999998,uM
6,4UY1,ic50,20.0,uM
7,5G3M,ic50,24.0,uM
8,1JQ9,Kd,3.57,nM
9,2QVD,Kd,1.45e-06,M
10,2ARM,Ki,7.4,nM
11,1FV0,Kd,1.18,uM
12,1Q7A,Kd,0.064,uM
13,1KPM,Ki,1.59,uM
14,1JQ8,Ki,1.01,uM
15,3H1X,Kd,1.45e-06,M
16,1MF4,Ki,10.2,nM
17,1TD7,Kd,43.0,uM
18,1OXR,Kd,1.45e-06,M
19,2WQ5,Kd,180.0,uM
20,1LOX,Ki,3.0,uM
21,3I7S,Kd,0.0299,mM
22,1YXD,ic50,0.5,mM
23,3K4Q,Ki,4.6,uM
24,3AYI,Ki,13.9,uM
25,2YR6,Ki,0.87,mM
26,2Q8Y,Kd,102.0,uM
27,2QJY,Kd,0.7,nM
28,2A06,Kd,30.0,pM
29,1N1G,ic50,5.0,mM
30,5GZA,Kd,30.2,uM
31,5M42,Kd,19.5,nM
32,5U3B,ic50,1.5,nM
33,3UHM,ic50,3.6,nM
34,4J3D,ic50,4.4,nM
35,3U1Y,ic50,2.13,nM
36,1M21,Ki,0.3,uM
37,1SZD,Kd,29.16,uM
38,1YC5,ic50,1.0,mM
39,2O3Z,Kd,2.0,uM
40,5DY5,ic50,0.11800000000000001,uM
41,4RMG,ic50,0.14,uM
42,5DY4,ic50,0.21,uM
43,5MAR,ic50,41.2,uM
44,5D7P,ic50,20.0,uM
45,5MAT,ic50,0.58,uM
46,5D7Q,ic50,2.8,uM
47,5G4C,Kd,13.7,uM
48,4JSR,ic50,0.004,uM
49,4JT9,ic50,0.0072,uM
50,4JT8,ic50,0.033,uM
51,4BV3,Kd,16.5,uM
52,5G1C,ic50,0.14,uM
53,1ZZ1,ic50,0.95,uM
54,5G17,Kd,0.2,uM
55,1ZZ3,ic50,0.29,uM
56,5G1A,Kd,270.0,nM
57,1S5P,Kd,0.44,uM
58,4UTV,Ki,100.0,uM
59,4P7R,Kd,2.7,mM
60,5MF6,Kd,38.0,uM
61,4IID,Ki,2.4,uM
62,4IIF,Ki,6.6,uM
63,4IIC,Ki,14.0,uM
64,4IIE,Ki,4600.0,uM
65,2CET,Ki,7.5,nM
66,2WBG,Ki,35.2,uM
67,2J7H,Ki,53.0,nM
68,2J7D,Ki,160.0,nM
69,1W3J,Kd,484.0,nM
70,2J7C,Ki,10.7,nM
71,2J79,Ki,640.0,nM
72,2WC3,Ki,0.83,uM
73,2VRJ,Ki,0.28,uM
74,2J7F,Ki,361.0,nM
75,2J77,Ki,4.0,uM
76,1UZ1,Ki,130.0,nM
77,2CBU,Kd,2.1,uM
78,2J7G,Ki,136.0,nM
79,2WC4,Ki,9.1,uM
80,2CBV,Kd,3.3,uM
81,1OIF,Kd,0.019,uM
82,2CES,Ki,138.0,nM
83,2J7E,Ki,114.0,nM
84,2J78,Kd,384.0,nM
85,1OIM,Kd,4.762,uM
86,2J7B,Ki,174.0,nM
87,1V08,Ki,1.0,uM
88,1E+55,Ki,76.0,uM
89,3F5K,Ki,0.024,mM
90,4QLL,Ka,2400.0,M^-1
91,3F5J,Ki,0.052000000000000005,mM
92,4QLK,Ka,1800.0,M^-1
93,3F5L,Ki,0.191,mM
94,2O9R,Ki,21.0,mM
95,5BX3,Ki,0.13,uM
96,5BX4,Ki,0.34,uM
97,5BX5,Ki,4.0,mM
98,5HLD,ic50,64.3,nM
99,5HLB,ic50,64.3,nM
100,5HLA,ic50,64.3,nM
101,2ZRU,Kd,467.0,nM
102,1NFS,Kd,0.12,nM
103,2VNP,Ki,0.12,nM
104,1Q54,Ki,1.4,uM
105,1PPW,ic50,50.0,uM
106,5AK0,ic50,0.021,uM
107,2DWO,Ki,8.3,uM
108,5AJY,ic50,0.496,uM
109,5AJW,ic50,0.10400000000000001,uM
110,5AJZ,ic50,0.34299999999999997,uM
111,3HWW,Kd,75.0,nM
112,4LH7,ic50,34.0,uM
113,4LH6,ic50,77.0,uM
114,4CC6,ic50,0.23,uM
115,4CC5,Kd,38.0,uM
116,4GLW,Kd,0.8,uM
